FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,0.279439,0.1786,0,0.940766,0.420901,0.169899,0.170911,0,0.169899,2.16052,2.16052,1195,1195,1195,1195,819,819,819,819
2,0.26421,0.202921,0,0.396813,0.069535,0.058084,0.160445,0,0.227983,1.15201,3.31252,1351,1195,1351,1273,907,819,907,863
3,0.28538,0.244747,0,0.46581,0.075068,0.056371,0.190696,0,0.284354,1.31807,4.6306,1514,1195,1514,1353.33,1000,819,1000,908.667
4,0.301942,0.284269,0,0.486169,0.090491,0.039546,0.192398,0,0.3239,1.39482,6.02541,1895,1195,1895,1488.75,1201,819,1201,981.75
5,0.333289,0.337982,0,0.523115,0.12397,0.038598,0.238296,0,0.362498,1.59525,7.62066,2171,1195,2171,1625.2,1353,819,1353,1056
6,0.387171,0.413631,0,0.48224,0.122412,0.043414,0.270636,0,0.405912,1.7195,9.34017,2412,1195,2412,1756.33,1485,819,1485,1127.5
7,0.394424,0.444046,0,0.454691,0.153657,0.042301,0.285518,0,0.448213,1.77464,11.1148,2512,1195,2512,1864.29,1544,819,1544,1187
8,0.422566,0.462857,0,0.478725,0.156437,0.021071,0.398677,0,0.469284,1.94033,13.0551,2540,1195,2540,1948.75,1570,819,1570,1234.88
9,0.446758,0.493818,0,0.529498,0.163028,0.021817,0.54172,0,0.491101,2.19664,15.2518,2808,1195,2808,2044.22,1718,819,1718,1288.56
10,0.475271,0.54534,0,0.508192,0.199238,0.044104,0.358201,0,0.535205,2.13035,17.3821,2866,1195,2866,2126.4,1742,819,1742,1333.9
11,0.505196,0.576681,0,0.650156,0.177,0.045325,0.673917,0,0.58053,2.62827,20.0104,2922,1195,2922,2198.73,1764,819,1764,1373
12,0.483816,0.577771,0,0.538561,0.223595,0.023281,0.504157,0,0.603811,2.35118,22.3616,2899,1195,2922,2257.08,1757,819,1764,1405
13,0.494545,0.579753,0,0.528328,0.191098,0.044063,0.364577,0,0.647874,2.20236,24.5639,2741,1195,2922,2294.31,1676,819,1764,1425.85
14,0.480748,0.545706,0,0.566225,0.180444,0.022682,0.333318,0,0.670556,2.12912,26.6931,2811,1195,2922,2331.21,1717,819,1764,1446.64
15,0.481667,0.545744,0,0.507288,0.183692,0.023093,0.42635,0,0.693649,2.16783,28.8609,2768,1195,2922,2360.33,1697,819,1764,1463.33
16,0.47454,0.548395,0,0.556038,0.174848,0.02347,0.393768,0,0.717119,2.17106,31.032,2731,1195,2922,2383.5,1680,819,1764,1476.88
17,0.490369,0.57264,0,0.51637,0.161917,0.043745,0.345196,0,0.760864,2.13024,33.1622,2679,1195,2922,2400.88,1653,819,1764,1487.24
18,0.47272,0.541891,0,0.499952,0.181213,0.024129,0.303999,0,0.784993,2.0239,35.1861,2688,1195,2922,2416.83,1660,819,1764,1496.83
19,0.468299,0.517607,0,0.501753,0.16978,0.022843,0.40946,0,0.807836,2.08974,37.2758,2623,1195,2922,2427.68,1631,819,1764,1503.89
20,0.451793,0.520277,0,0.489617,0.165855,0.044659,0.489124,0,0.852495,2.16133,39.4372,2671,1195,2922,2439.85,1661,819,1764,1511.75
21,0.488867,0.517328,0,0.523869,0.169348,0.067133,0.337241,0,0.919628,2.10379,41.5409,2667,1195,2922,2450.67,1659,819,1764,1518.76
22,0.471061,0.506856,0,0.484326,0.180287,0.048923,0.297139,0,0.968551,1.98859,43.5295,2662,1195,2922,2460.27,1653,819,1764,1524.86
23,0.468333,0.527126,0,0.517302,0.16584,0.043795,0.367582,0,1.01235,2.08998,45.6195,2660,1195,2922,2468.96,1650,819,1764,1530.3
24,0.469979,0.531051,0,0.485798,0.157094,0.022958,0.431578,0,1.0353,2.09846,47.718,2741,1195,2922,2480.29,1700,819,1764,1537.38
25,0.473365,0.538894,0,0.517126,0.172869,0.022769,0.464855,0,1.05807,2.18988,49.9079,2703,1195,2922,2489.2,1679,819,1764,1543.04
26,0.446522,0.523896,0,0.493345,0.175024,0.046981,0.405599,0,1.10505,2.09137,51.9992,2660,1195,2922,2495.77,1659,819,1764,1547.5
27,0.457816,0.531464,0,0.506277,0.167713,0.020921,0.440951,0,1.12597,2.12514,54.1244,2785,1195,2922,2506.48,1715,819,1764,1553.7
28,0.501417,0.56264,0,0.517423,0.17532,0.088243,0.571932,0,1.21422,2.41698,56.5413,2778,1195,2922,2516.18,1718,819,1764,1559.57
29,0.469507,0.550826,0,0.558599,0.185466,0.021976,0.269457,0,1.23619,2.05583,58.5972,2851,1195,2922,2527.72,1760,819,1764,1566.48
30,0.472966,0.560373,0,0.530679,0.181796,0.023339,0.606388,0,1.25953,2.37554,60.9727,2830,1195,2922,2537.8,1750,819,1764,1572.6
31,0.487913,0.560445,0,0.560119,0.16981,0.022374,0.316698,0,1.28191,2.11736,63.0901,2905,1195,2922,2549.65,1791,819,1791,1579.65
32,0.474656,0.593987,0,0.525578,0.175384,0.053007,0.374276,0,1.33491,2.19689,65.287,2895,1195,2922,2560.44,1783,819,1791,1586
33,0.488055,0.583758,0,0.541142,0.17123,0.02253,0.322734,0,1.35744,2.12945,67.4164,3003,1195,3003,2573.85,1844,819,1844,1593.82
34,0.498708,0.628768,0,0.521122,0.178763,0.022167,0.384924,0,1.37961,2.23445,69.6509,2845,1195,3003,2581.82,1756,819,1844,1598.59
35,0.491552,0.5834,0,0.540551,0.180946,0.0244,0.462562,0,1.40401,2.28341,71.9343,2980,1195,3003,2593.2,1822,819,1844,1604.97
36,0.492024,0.60653,0,0.670339,0.189338,0.241441,0.400621,0,1.64545,2.60029,74.5346,2990,1195,3003,2604.22,1818,819,1844,1610.89
37,0.486082,0.604678,0,0.595568,0.171126,0.048888,0.407183,0,1.69434,2.31352,76.8481,2898,1195,3003,2612.16,1765,819,1844,1615.05
38,0.478149,0.596442,0,0.580642,0.180925,0.023343,0.338823,0,1.71768,2.19832,79.0464,3025,1195,3025,2623.03,1843,819,1844,1621.05
39,0.515768,0.614566,0,0.524664,0.17777,0.046784,0.41134,0,1.76447,2.29089,81.3373,2968,1195,3025,2631.87,1818,819,1844,1626.1
40,0.486864,0.600256,0,0.518074,0.182952,0.032377,0.421621,0,1.79684,2.24214,83.5794,3077,1195,3077,2643,1874,819,1874,1632.3
41,0.498158,0.667118,0,0.54681,0.191232,0.022092,0.406458,0,1.81894,2.33187,85.9113,3040,1195,3077,2652.68,1860,819,1874,1637.85
42,0.506889,0.641071,0,0.531216,0.177882,0.04212,0.489903,0,1.86106,2.38908,88.3004,3075,1195,3077,2662.74,1876,819,1876,1643.52
43,0.535271,0.680607,0,0.561424,0.193349,0.056089,0.441855,0,1.91714,2.46859,90.769,3157,1195,3157,2674.23,1928,819,1928,1650.14
44,0.531371,0.659824,0,0.525716,0.232444,0.023451,0.376579,0,1.9406,2.34939,93.1184,3079,1195,3157,2683.43,1878,819,1928,1655.32
45,0.534615,0.643775,0,0.523831,0.194326,0.044963,0.439214,0,1.98556,2.38072,95.4991,3126,1195,3157,2693.27,1898,819,1928,1660.71
46,0.496608,0.655773,0,0.524913,0.19643,0.045942,0.355501,0,2.0315,2.27517,97.7743,3057,1195,3157,2701.17,1860,819,1928,1665.04
47,0.487812,0.610948,0,0.539531,0.188821,0.043992,0.458013,0,2.07549,2.32912,100.103,3121,1195,3157,2710.11,1900,819,1928,1670.04
48,0.506334,0.681252,0,0.517771,0.208087,0.022289,0.514502,0,2.09778,2.45024,102.554,3214,1195,3214,2720.6,1942,819,1942,1675.71
49,0.511706,0.672661,0,0.591662,0.202418,0.044706,0.490027,0,2.14249,2.51318,105.067,3162,1195,3214,2729.61,1920,819,1942,1680.69
50,0.523228,0.68259,0,0.547896,0.197696,0.024136,0.474435,0,2.16662,2.44998,107.517,3285,1195,3285,2740.72,1979,819,1979,1686.66
51,0.533537,0.728225,0,0.624769,0.220757,0.023178,0.418641,0,2.1898,2.54911,110.066,3327,1195,3327,2752.22,2004,819,2004,1692.88
52,0.535525,0.757302,0,0.625542,0.211851,0.02262,0.385289,0,2.21242,2.53813,112.604,3316,1195,3327,2763.06,1993,819,2004,1698.65
53,0.537569,0.705824,0,0.580579,0.234252,0.02382,0.424633,0,2.23624,2.50668,115.111,3474,1195,3474,2776.47,2086,819,2086,1705.96
54,0.542066,0.760648,0,0.529149,0.209255,0.053364,0.444921,0,2.28961,2.5394,117.65,3497,1195,3497,2789.81,2097,819,2097,1713.2
55,0.523357,0.816588,0,0.522068,0.220662,0.046149,0.489901,0,2.33575,2.61872,120.269,3435,1195,3497,2801.55,2057,819,2097,1719.45
56,0.540038,0.747608,0,0.544402,0.227257,0.077091,0.625985,0,2.41285,2.76238,123.031,3541,1195,3541,2814.75,2111,819,2111,1726.45
57,0.534435,0.764406,0,0.573028,0.21083,0.023438,0.802733,0,2.43628,2.90887,125.94,3501,1195,3541,2826.79,2090,819,2111,1732.82
58,0.546805,0.7483,0,0.554385,0.206385,0.048148,0.505815,0,2.48443,2.60984,128.55,3478,1195,3541,2838.02,2072,819,2111,1738.67
59,0.530826,0.778687,0,0.563121,0.23742,0.078258,0.65389,0,2.56269,2.8422,131.392,3555,1195,3555,2850.17,2116,819,2116,1745.07
