FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,18.3819,56.8949,71.3973,47.0979,75.3728,18.87,0,0,18.87,288.015,288.015,123790,123790,123790,123790,63889,63889,63889,63889
2,17.8723,55.7821,61.0545,8.74599,0,0,0,0,18.87,143.455,431.47,123790,123790,123790,123790,63889,63889,63889,63889
3,16.3225,55.8972,58.1606,8.56006,0,0,0,0,18.87,138.94,570.41,123790,123790,123790,123790,63889,63889,63889,63889
4,15.7535,56.2099,57.4773,8.54326,0,0,0,0,18.87,137.984,708.394,123790,123790,123790,123790,63889,63889,63889,63889
5,15.7992,55.8588,57.6316,8.52036,0,0,0,0,18.87,137.81,846.204,123790,123790,123790,123790,63889,63889,63889,63889
6,15.7429,55.7199,57.0163,8.51967,0,0,0,0,18.87,136.999,983.203,123790,123790,123790,123790,63889,63889,63889,63889
7,15.7025,55.4281,56.8465,8.49819,0,0,0,0,18.87,136.475,1119.68,123790,123790,123790,123790,63889,63889,63889,63889
8,15.8713,54.7874,57.4625,8.49262,0,0,0,0,18.87,136.614,1256.29,123790,123790,123790,123790,63889,63889,63889,63889
9,16.3927,55.5582,57.7381,8.50108,0,0,0,0,18.87,138.19,1394.48,123790,123790,123790,123790,63889,63889,63889,63889
10,16.6625,55.456,58.0003,8.52824,0,0,0,0,18.87,138.647,1533.13,123790,123790,123790,123790,63889,63889,63889,63889
11,16.5831,56.0481,58.4578,8.54063,0,0,0,0,18.87,139.63,1672.76,123790,123790,123790,123790,63889,63889,63889,63889
12,16.5202,56.3425,58.1729,8.5292,0,0,0,0,18.87,139.565,1812.32,123790,123790,123790,123790,63889,63889,63889,63889
13,16.4586,56.2288,57.8221,8.60863,0,0,0,0,18.87,139.118,1951.44,123790,123790,123790,123790,63889,63889,63889,63889
14,16.3543,55.9295,58.342,9.1305,0,0,0,0,18.87,139.756,2091.2,123790,123790,123790,123790,63889,63889,63889,63889
15,16.4285,55.6578,58.4416,9.06639,0,0,0,0,18.87,139.594,2230.79,123790,123790,123790,123790,63889,63889,63889,63889
