FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,3.47745,5.4907,6.74314,26.4007,9.76516,2.56364,6.11747,0,2.56364,60.5582,60.5582,30863,30863,30863,30863,16511,16511,16511,16511
2,5.23948,9.56459,12.2167,2.67247,4.57349,0.092792,7.0909,0,2.65643,41.4504,102.009,33882,30863,33882,32372.5,18160,16511,18160,17335.5
3,5.98776,10.6115,14.1066,2.98134,4.75318,0.091608,5.56368,0,2.74804,44.0957,146.104,33355,30863,33882,32700,17915,16511,18160,17528.7
4,5.97244,10.4709,13.8417,3.01737,4.97401,0.096365,5.94319,0,2.8444,44.3159,190.42,32184,30863,33882,32571,17331,16511,18160,17479.2
5,5.7282,10.0601,13.2389,3.00828,4.43438,0.085308,5.08807,0,2.92971,41.6432,232.063,30223,30223,33882,32101.4,16321,16321,18160,17247.6
6,5.35801,9.20371,12.0721,2.89936,3.82679,0.081874,5.15009,0,3.01159,38.5919,270.655,29014,29014,33882,31586.8,15727,15727,18160,16994.2
7,5.20486,8.73106,11.2534,2.90385,3.349,0.083229,5.09393,0,3.09481,36.6193,307.275,29666,29014,33882,31312.4,16070,15727,18160,16862.1
8,5.37036,8.93883,11.8999,2.92139,3.47678,0.082194,4.9263,0,3.17701,37.6157,344.89,29280,29014,33882,31058.4,15874,15727,18160,16738.6
9,5.35302,8.79666,11.6981,2.8834,3.0306,0.082331,4.8093,0,3.25934,36.6534,381.544,29216,29014,33882,30853.7,15847,15727,18160,16639.6
10,5.38415,8.70561,11.6742,2.91563,3.18676,0.081032,4.70746,0,3.34037,36.6549,418.199,28220,28220,33882,30590.3,15343,15343,18160,16509.9
11,5.30892,8.42162,11.2079,2.8807,2.71124,0.080537,4.65062,0,3.42091,35.2616,453.46,27842,27842,33882,30340.5,15157,15157,18160,16386.9
12,5.29974,8.17418,11.3691,2.89244,2.72823,0.080059,4.62821,0,3.50097,35.1719,488.632,27683,27683,33882,30119,15069,15069,18160,16277.1
13,5.29147,8.22558,10.7563,2.88906,2.93151,0.078905,4.72572,0,3.57987,34.8985,523.531,27559,27559,33882,29922.1,15008,15008,18160,16179.5
14,5.29711,8.23471,10.7984,2.88487,2.36922,0.07898,4.68893,0,3.65885,34.3522,557.883,27645,27559,33882,29759.4,15059,15008,18160,16099.4
15,5.33953,8.36787,10.873,2.90551,2.25252,0.079126,4.85689,0,3.73798,34.6744,592.557,27709,27559,33882,29622.7,15092,15008,18160,16032.3
16,5.37591,8.27192,10.9926,2.9468,2.37696,0.079189,4.7078,0,3.81717,34.7512,627.309,27679,27559,33882,29501.2,15081,15008,18160,15972.8
17,5.36526,8.27506,10.8316,2.93615,1.95937,0.079895,4.8109,0,3.89706,34.2582,661.567,27766,27559,33882,29399.2,15129,15008,18160,15923.2
18,5.38824,8.29031,10.9152,2.97886,1.9535,0.079306,4.91388,0,3.97637,34.5193,696.086,27673,27559,33882,29303.3,15076,15008,18160,15876.1
19,5.3599,8.39071,10.9619,2.95682,2.37498,0.079019,4.65524,0,4.05539,34.7786,730.865,27446,27446,33882,29205.5,14967,14967,18160,15828.3
20,5.2897,8.24514,10.7224,2.92875,2.32276,0.079005,4.7142,0,4.13439,34.3019,765.167,27287,27287,33882,29109.6,14885,14885,18160,15781.1
21,5.26776,8.23746,10.6448,2.91726,2.32896,0.078584,4.59345,0,4.21298,34.0683,799.235,27238,27238,33882,29020.5,14854,14854,18160,15737
22,5.21554,8.09632,10.6178,2.90142,2.29119,0.078301,4.67242,0,4.29128,33.873,833.108,27248,27238,33882,28939.9,14865,14854,18160,15697.3
23,5.24293,8.16636,11.2045,2.89533,2.25403,0.079766,4.80086,0,4.37104,34.6438,867.752,27168,27168,33882,28862.9,14816,14816,18160,15659
24,5.24852,8.24668,11.4609,2.90422,2.28721,0.080765,4.65526,0,4.45181,34.8836,902.635,27082,27082,33882,28788.7,14771,14771,18160,15622
25,5.30897,8.27905,11.2253,2.93645,1.81431,0.078213,4.70018,0,4.53002,34.3424,936.978,27131,27082,33882,28722.4,14798,14771,18160,15589
26,5.1967,8.2207,10.6858,2.90741,2.24641,0.077621,4.5216,0,4.60764,33.8562,970.834,27193,27082,33882,28663.5,14834,14771,18160,15560
27,5.19466,8.05168,10.731,2.88328,1.95921,0.082514,4.6462,0,4.69016,33.5485,1004.38,27232,27082,33882,28610.5,14853,14771,18160,15533.8
28,5.19818,8.08901,10.7283,2.89292,1.81934,0.077766,4.71641,0,4.76792,33.5219,1037.9,27227,27082,33882,28561.1,14855,14771,18160,15509.6
29,5.19485,8.07838,10.8419,2.85711,1.9574,0.077885,4.69807,0,4.84581,33.7056,1071.61,27204,27082,33882,28514.3,14843,14771,18160,15486.6
30,5.24228,8.25525,10.8595,2.86272,2.23753,0.077772,4.52829,0,4.92358,34.0633,1105.67,27134,27082,33882,28468.3,14807,14771,18160,15463.9
31,5.22213,8.11939,10.7715,2.87231,1.9889,0.07831,4.69975,0,5.00189,33.7523,1139.43,27177,27082,33882,28426.6,14827,14771,18160,15443.4
32,5.20998,8.11079,10.6588,2.88792,1.99832,0.078172,4.58018,0,5.08006,33.5241,1172.95,27236,27082,33882,28389.4,14853,14771,18160,15424.9
33,5.23354,8.11337,10.7248,2.88998,1.98446,0.077604,4.55608,0,5.15767,33.5798,1206.53,27216,27082,33882,28353.9,14840,14771,18160,15407.2
34,5.23641,8.16742,10.6532,2.87246,1.79552,0.078136,4.68981,0,5.2358,33.4929,1240.02,27211,27082,33882,28320.3,14836,14771,18160,15390.4
35,5.26457,8.30543,10.7389,2.88,1.55888,0.078006,4.66075,0,5.31381,33.4865,1273.51,27207,27082,33882,28288.5,14840,14771,18160,15374.7
36,5.24043,8.04365,10.6814,2.86979,1.78711,0.077865,4.56721,0,5.39167,33.2675,1306.78,27217,27082,33882,28258.7,14849,14771,18160,15360.1
37,5.26304,8.07301,10.6566,2.90187,1.78807,0.078177,4.55063,0,5.46985,33.3114,1340.09,27179,27082,33882,28229.5,14826,14771,18160,15345.6
38,5.25377,8.1491,10.5394,2.87064,2.18348,0.077991,4.85582,0,5.54784,33.9302,1374.02,27146,27082,33882,28201,14809,14771,18160,15331.5
39,5.26208,8.25489,10.6108,2.85447,1.90915,0.077825,4.66082,0,5.62567,33.6301,1407.65,27090,27082,33882,28172.5,14783,14771,18160,15317.5
40,5.25561,7.9999,10.5892,2.83777,1.93871,0.077923,4.62686,0,5.70359,33.326,1440.97,27071,27071,33882,28145,14773,14771,18160,15303.9
41,5.23336,8.11511,10.4723,2.83562,1.77718,0.077822,4.63102,0,5.78141,33.1424,1474.12,27019,27019,33882,28117.5,14749,14749,18160,15290.3
42,5.18613,8.16784,10.5555,2.83832,2.19689,0.079334,4.57395,0,5.86075,33.5979,1507.71,27078,27019,33882,28092.8,14779,14749,18160,15278.1
43,5.16183,7.97723,10.3198,2.85913,1.97963,0.078062,4.51034,0,5.93881,32.886,1540.6,27098,27019,33882,28069.6,14791,14749,18160,15266.8
44,5.04484,8.03663,10.4159,2.88683,2.66833,0.077493,4.63748,0,6.0163,33.7675,1574.37,26775,26775,33882,28040.2,14626,14626,18160,15252.2
45,4.79265,7.9053,10.1383,2.85406,2.78544,0.075944,4.36694,0,6.09224,32.9186,1607.29,25785,25785,33882,27990.1,14135,14135,18160,15227.4
46,4.44498,7.48126,9.77952,2.76558,2.5453,0.076831,4.31804,0,6.16908,31.4115,1638.7,25792,25785,33882,27942.3,14135,14135,18160,15203.7
47,4.47193,7.52237,10.0169,2.82578,2.54926,0.076227,4.3447,0,6.2453,31.8072,1670.51,26065,25785,33882,27902.4,14262,14135,18160,15183.6
48,4.56494,7.52637,10.3,2.93773,2.46215,0.07906,4.51849,0,6.32436,32.3887,1702.89,26830,25785,33882,27880,14643,14135,18160,15172.4
49,4.80026,7.81868,11.2506,3.06106,2.81701,0.080416,4.87442,0,6.40478,34.7025,1737.6,28074,25785,33882,27884,15273,14135,18160,15174.4
50,5.11241,8.46712,12.8828,3.48973,3.53062,0.17769,5.35935,0,6.58247,39.0198,1776.62,29745,25785,33882,27921.2,16131,14135,18160,15193.6
51,5.50811,9.28665,15.4805,5.56991,3.99039,0.995735,6.55896,0,7.5782,47.3902,1824.01,31548,25785,33882,27992.3,17034,14135,18160,15229.6
