FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,0.710389,0.72574,1.30836,13.8935,1.43641,0.769719,0.677546,0,0.769719,19.5216,19.5216,5652,5652,5652,5652,3340,3340,3340,3340
2,0.856255,1.06891,1.6857,1.08267,0.347704,0.188449,0.843044,0,0.958168,6.07273,25.5944,5907,5652,5907,5779.5,3484,3340,3484,3412
3,0.942147,1.1463,1.84562,0.949877,0.328802,0.053444,1.0212,0,1.01161,6.2874,31.8818,5825,5652,5907,5794.67,3443,3340,3484,3422.33
4,0.930012,1.14968,1.85796,0.892937,0.326074,0.111599,0.699078,0,1.12321,5.96734,37.8491,5667,5652,5907,5762.75,3373,3340,3484,3410
5,0.919626,1.09979,1.81154,0.940042,0.289172,0.053997,0.822648,0,1.17721,5.93682,43.7859,5435,5435,5907,5697.2,3258,3258,3484,3379.6
6,0.91083,1.05672,1.69912,0.900319,0.272203,0.052985,0.720206,0,1.23019,5.61238,49.3983,5498,5435,5907,5664,3294,3258,3484,3365.33
7,0.925953,1.05796,1.74353,0.89707,0.275148,0.053871,0.690251,0,1.28406,5.64378,55.0421,5472,5435,5907,5636.57,3277,3258,3484,3352.71
8,0.937429,1.06012,1.71802,0.892941,0.273033,0.106536,0.75689,0,1.3906,5.74497,60.7871,5445,5435,5907,5612.62,3272,3258,3484,3342.62
9,0.945791,1.03939,1.65123,0.88016,0.268912,0.052119,0.760125,0,1.44272,5.59772,66.3848,5366,5366,5907,5585.22,3226,3226,3484,3329.67
10,0.966733,1.04223,1.6978,0.872726,0.267483,0.132735,0.783455,0,1.57545,5.76316,72.1479,5223,5223,5907,5549,3142,3142,3484,3310.9
11,0.960422,1.00221,1.64254,0.862467,0.267768,0.053121,0.734601,0,1.62858,5.52314,77.6711,5244,5223,5907,5521.27,3161,3142,3484,3297.27
12,0.971869,1.02157,1.62643,0.985047,0.275725,0.052249,0.727523,0,1.68082,5.66041,83.3315,5327,5223,5907,5505.08,3203,3142,3484,3289.42
