FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,3.62129,20.9116,0,3.2852,30.0885,0.178697,0,0,0.178697,58.0853,58.0853,43710,43710,43710,43710,22736,22736,22736,22736
2,3.82181,21.1139,0,2.53708,0,0,0,0,0.178697,27.4727,85.558,43710,43710,43710,43710,22736,22736,22736,22736
3,3.96003,20.7113,0,2.64143,0,0,0,0,0.178697,27.3128,112.871,43710,43710,43710,43710,22736,22736,22736,22736
4,4.04615,21.2309,0,2.67059,0,0,0,0,0.178697,27.9476,140.818,43710,43710,43710,43710,22736,22736,22736,22736
5,4.2664,20.7245,0,2.62946,0,0,0,0,0.178697,27.6204,168.439,43710,43710,43710,43710,22736,22736,22736,22736
6,4.50634,21.3728,0,2.70277,0,0,0,0,0.178697,28.5819,197.021,43710,43710,43710,43710,22736,22736,22736,22736
7,4.84353,21.5727,0,2.6424,0,0,0,0,0.178697,29.0587,226.079,43710,43710,43710,43710,22736,22736,22736,22736
8,4.94862,21.7852,0,2.63883,0,0,0,0,0.178697,29.3727,255.452,43710,43710,43710,43710,22736,22736,22736,22736
9,4.92653,22.7265,0,2.62164,0,0,0,0,0.178697,30.2747,285.727,43710,43710,43710,43710,22736,22736,22736,22736
10,4.9396,22.3978,0,2.62577,0,0,0,0,0.178697,29.9632,315.69,43710,43710,43710,43710,22736,22736,22736,22736
11,5.04527,22.4814,0,2.66736,0,0,0,0,0.178697,30.194,345.884,43710,43710,43710,43710,22736,22736,22736,22736
12,5.01016,22.1407,0,2.6719,0,0,0,0,0.178697,29.8228,375.707,43710,43710,43710,43710,22736,22736,22736,22736
13,4.91126,21.8874,0,2.65803,0,0,0,0,0.178697,29.4567,405.163,43710,43710,43710,43710,22736,22736,22736,22736
14,4.9104,22.2745,0,2.64275,0,0,0,0,0.178697,29.8276,434.991,43710,43710,43710,43710,22736,22736,22736,22736
15,4.85127,22.1231,0,2.6208,0,0,0,0,0.178697,29.5952,464.586,43710,43710,43710,43710,22736,22736,22736,22736
16,4.83331,21.4613,0,2.59556,0,0,0,0,0.178697,28.8902,493.476,43710,43710,43710,43710,22736,22736,22736,22736
17,4.78974,21.6608,0,2.59981,0,0,0,0,0.178697,29.0504,522.527,43710,43710,43710,43710,22736,22736,22736,22736
18,4.76929,21.8526,0,2.58654,0,0,0,0,0.178697,29.2084,551.735,43710,43710,43710,43710,22736,22736,22736,22736
19,4.71954,21.3189,0,2.57473,0,0,0,0,0.178697,28.6132,580.348,43710,43710,43710,43710,22736,22736,22736,22736
20,4.65098,21.3842,0,2.57125,0,0,0,0,0.178697,28.6064,608.955,43710,43710,43710,43710,22736,22736,22736,22736
21,4.65415,21.1995,0,2.57514,0,0,0,0,0.178697,28.4288,637.383,43710,43710,43710,43710,22736,22736,22736,22736
