FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,0.804094,1.1702,0,1.10528,2.54104,0.118879,2.03649,0,0.118879,7.77599,7.77599,12030,12030,12030,12030,6593,6593,6593,6593
2,1.4465,3.40046,0,0.925013,1.58407,0.041262,2.13296,0,0.160141,9.53026,17.3063,15073,12030,15073,13551.5,8176,6593,8176,7384.5
3,1.92923,4.46626,0,1.14736,2.28262,0.045787,2.50594,0,0.205928,12.3772,29.6835,16446,12030,16446,14516.3,8862,6593,8862,7877
4,1.94245,5.05108,0,1.17054,2.6227,0.045357,5.41885,0,0.251285,16.251,45.9344,18070,12030,18070,15404.8,9673,6593,9673,8326
5,2.00931,5.73837,0,1.24238,3.0549,0.048268,3.76367,0,0.299553,15.8569,61.7913,19687,12030,19687,16261.2,10476,6593,10476,8756
6,2.13206,6.44168,0,1.39562,4.15579,0.052588,3.39412,0,0.352141,17.5719,79.3632,21118,12030,21118,17070.7,11198,6593,11198,9163
7,2.43908,7.33847,0,1.56702,4.00392,0.055435,3.40262,0,0.407576,18.8065,98.1697,21735,12030,21735,17737,11519,6593,11519,9499.57
8,2.91303,7.16842,0,1.71074,4.8703,0.056366,3.55893,0,0.463942,20.2778,118.448,21763,12030,21763,18240.2,11535,6593,11535,9754
9,2.91136,7.60761,0,1.6994,4.13901,0.05555,3.57305,0,0.519492,19.986,138.434,21579,12030,21763,18611.2,11444,6593,11535,9941.78
10,2.94291,7.59204,0,1.72369,4.78521,0.05574,3.65088,0,0.575232,20.7505,159.184,21204,12030,21763,18870.5,11250,6593,11535,10072.6
11,2.91402,7.59117,0,1.71642,3.28851,0.05485,5.27765,0,0.630082,20.8426,180.027,20866,12030,21763,19051.9,11082,6593,11535,10164.4
12,2.92902,7.2654,0,1.73258,3.12973,0.054148,3.41722,0,0.68423,18.5281,198.555,20419,12030,21763,19165.8,10848,6593,11535,10221.3
13,2.86085,7.03841,0,1.70735,3.63477,0.053609,3.11677,0,0.737839,18.4118,216.966,19809,12030,21763,19215.3,10542,6593,11535,10246
14,2.74707,6.50026,0,1.66206,3.41982,0.05275,3.0808,0,0.790589,17.4628,234.429,19513,12030,21763,19236.6,10392,6593,11535,10256.4
15,2.72619,6.64699,0,1.64327,3.30512,0.052838,3.92445,0,0.843427,18.2989,252.728,19239,12030,21763,19236.7,10258,6593,11535,10256.5
16,2.68753,6.45294,0,1.62999,3.21099,0.052543,3.69843,0,0.89597,17.7324,270.46,19017,12030,21763,19223,10152,6593,11535,10250
17,2.62393,6.48428,0,1.59733,2.61845,0.052097,2.86564,0,0.948067,16.2417,286.702,18833,12030,21763,19200.1,10061,6593,11535,10238.9
18,2.57051,6.35032,0,1.58014,3.09235,0.052626,2.91629,0,1.00069,16.5622,303.264,18638,12030,21763,19168.8,9965,6593,11535,10223.7
19,2.55836,6.15863,0,1.58254,2.49995,0.0515,4.33008,0,1.05219,17.1811,320.446,18324,12030,21763,19124.4,9809,6593,11535,10201.8
20,2.52657,5.98846,0,1.56996,2.41402,0.051672,3.65678,0,1.10386,16.2075,336.653,18148,12030,21763,19075.5,9718,6593,11535,10177.6
21,2.52748,5.74735,0,1.55708,2.37013,0.052336,3.44072,0,1.1562,15.6951,352.348,18083,12030,21763,19028.3,9686,6593,11535,10154.2
22,2.52423,5.83458,0,1.5551,2.34574,0.051664,3.70416,0,1.20786,16.0155,368.364,17996,12030,21763,18981.4,9641,6593,11535,10130.9
23,2.4898,5.82907,0,1.53293,2.31291,0.051393,2.73213,0,1.25926,14.9482,383.312,18046,12030,21763,18940.7,9670,6593,11535,10110.9
24,2.49382,5.6727,0,1.5369,2.33215,0.050817,2.68138,0,1.31007,14.7678,398.08,17922,12030,21763,18898.2,9607,6593,11535,10089.9
25,2.4423,5.64341,0,1.53049,2.7839,0.050488,2.68132,0,1.36056,15.1319,413.211,17943,12030,21763,18860,9619,6593,11535,10071
26,2.42494,5.76643,0,1.52478,2.31643,0.051797,2.60298,0,1.41236,14.6874,427.899,17959,12030,21763,18825.4,9627,6593,11535,10054
27,2.44185,5.72047,0,1.53237,2.81324,0.051678,2.83247,0,1.46404,15.3921,443.291,18035,12030,21763,18796.1,9667,6593,11535,10039.6
28,2.46422,5.7545,0,1.53808,2.33909,0.051681,4.24737,0,1.51572,16.3949,459.686,18081,12030,21763,18770.6,9688,6593,11535,10027.1
29,2.52432,5.96514,0,1.54679,2.34146,0.051824,2.66768,0,1.56754,15.0972,474.783,18045,12030,21763,18745.6,9665,6593,11535,10014.6
30,2.51996,5.87934,0,1.54101,2.81475,0.050567,3.90268,0,1.61811,16.7083,491.491,18071,12030,21763,18723.1,9678,6593,11535,10003.4
31,2.53997,5.89253,0,1.55624,2.82974,0.050549,2.97568,0,1.66866,15.8447,507.336,18122,12030,21763,18703.7,9705,6593,11535,9993.74
32,2.54265,5.91615,0,1.56033,2.34323,0.050381,4.44337,0,1.71904,16.8561,524.192,18147,12030,21763,18686.3,9718,6593,11535,9985.12
33,2.54825,5.96347,0,1.56412,2.35727,0.050827,2.88944,0,1.76987,15.3734,539.566,18222,12030,21763,18672.2,9753,6593,11535,9978.09
34,2.5569,5.98234,0,1.5609,2.86616,0.052194,2.87086,0,1.82206,15.8894,555.455,18140,12030,21763,18656.6,9710,6593,11535,9970.21
35,2.56692,6.02466,0,1.56901,2.36781,0.051314,2.90177,0,1.87338,15.4815,570.936,18183,12030,21763,18643,9731,6593,11535,9963.37
36,2.54201,5.98668,0,1.57755,2.37293,0.051928,3.4793,0,1.9253,16.0104,586.947,18217,12030,21763,18631.2,9749,6593,11535,9957.42
37,2.50183,5.95713,0,1.57111,2.85233,0.051377,4.34427,0,1.97668,17.278,604.225,18332,12030,21763,18623.1,9807,6593,11535,9953.35
38,2.49831,5.89537,0,1.57875,2.38036,0.050334,3.54987,0,2.02701,15.953,620.178,18313,12030,21763,18614.9,9797,6593,11535,9949.24
39,2.47346,6.01212,0,1.54217,2.37676,0.051305,2.83155,0,2.07832,15.2874,635.465,18214,12030,21763,18604.7,9751,6593,11535,9944.15
40,2.474,5.9983,0,1.56419,2.35737,0.05034,3.54163,0,2.12866,15.9858,651.451,18091,12030,21763,18591.8,9690,6593,11535,9937.8
41,2.44581,5.87413,0,1.49435,2.83237,0.049382,2.76331,0,2.17804,15.4594,666.91,17985,12030,21763,18577,9641,6593,11535,9930.56
42,2.44425,5.95256,0,1.5295,2.79057,0.050168,2.83341,0,2.22821,15.6005,682.511,18039,12030,21763,18564.2,9667,6593,11535,9924.29
43,2.43764,5.93865,0,1.54344,2.30486,0.050216,2.79376,0,2.27843,15.0686,697.579,17957,12030,21763,18550.1,9622,6593,11535,9917.26
44,2.4369,5.91482,0,1.53766,2.30419,0.050593,3.76799,0,2.32902,16.0121,713.592,17842,12030,21763,18534,9569,6593,11535,9909.34
45,2.41737,5.87619,0,1.55138,2.26549,0.051847,2.21029,0,2.38087,14.3726,727.964,17789,12030,21763,18517.4,9544,6593,11535,9901.22
46,2.41771,5.78688,0,1.40552,2.24912,0.048954,2.97334,0,2.42982,14.8815,742.846,17799,12030,21763,18501.8,9549,6593,11535,9893.57
47,2.42001,5.9549,0,1.37236,1.77989,0.050511,2.62343,0,2.48033,14.2011,757.047,17841,12030,21763,18487.8,9568,6593,11535,9886.64
48,2.4121,5.76288,0,1.53338,2.26096,0.050591,4.27912,0,2.53092,16.299,773.346,17857,12030,21763,18474.6,9578,6593,11535,9880.21
49,2.42819,5.67778,0,1.52933,2.25671,0.050022,2.80809,0,2.58094,14.7501,788.096,17860,12030,21763,18462.1,9576,6593,11535,9874
50,2.45444,5.83085,0,1.53104,2.25996,0.050842,2.81139,0,2.63179,14.9385,803.034,17884,12030,21763,18450.5,9589,6593,11535,9868.3
