FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,0.33685,0.367347,0,0.849606,0.792733,0.103991,0.431978,0,0.103991,2.8825,2.8825,3713,3713,3713,3713,2183,2183,2183,2183
2,0.440944,0.794885,0,0.474538,0.251129,0.020944,0.511561,0,0.124935,2.494,5.37651,4307,3713,4307,4010,2495,2183,2495,2339
3,0.492677,0.947979,0,0.514134,0.272592,0.022408,0.676271,0,0.147343,2.92606,8.30257,4559,3713,4559,4193,2624,2183,2624,2434
4,0.517791,1.04224,0,0.527398,0.296326,0.04489,0.726592,0,0.192233,3.15524,11.4578,4896,3713,4896,4368.75,2797,2183,2797,2524.75
5,0.526011,1.12917,0,0.530034,0.362168,0.023263,0.729872,0,0.215496,3.30052,14.7583,5180,3713,5180,4531,2943,2183,2943,2608.4
6,0.559777,1.22167,0,0.555757,0.433103,0.025454,1.04191,0,0.24095,3.83767,18.596,5507,3713,5507,4693.67,3119,2183,3119,2693.5
7,0.588073,1.31209,0,0.591491,0.422149,0.024745,0.675189,0,0.265695,3.61373,22.2097,5649,3713,5649,4830.14,3209,2183,3209,2767.14
8,0.624597,1.36853,0,0.601704,0.433939,0.024714,0.696206,0,0.290409,3.74969,25.9594,5637,3713,5649,4931,3204,2183,3209,2821.75
9,0.635242,1.36858,0,0.597436,0.426895,0.024458,0.932129,0,0.314867,3.98474,29.9442,5522,3713,5649,4996.67,3142,2183,3209,2857.33
10,0.649167,1.3301,0,0.607689,0.417835,0.025349,0.642958,0,0.340216,3.6731,33.6173,5547,3713,5649,5051.7,3163,2183,3209,2887.9
11,0.678057,1.29115,0,0.630365,0.379668,0.024758,1.23394,0,0.364974,4.23793,37.8552,5722,3713,5722,5112.64,3249,2183,3249,2920.73
12,0.698434,1.2964,0,0.640549,0.44651,0.025948,0.860778,0,0.390922,3.96862,41.8238,5772,3713,5772,5167.58,3280,2183,3280,2950.67
13,0.706846,1.34978,0,0.66114,0.447047,0.025686,0.696351,0,0.416608,3.88685,45.7107,5904,3713,5904,5224.23,3344,2183,3344,2980.92
14,0.716948,1.40978,0,0.655462,0.51632,0.052897,0.880394,0,0.469505,4.23181,49.9425,5937,3713,5937,5275.14,3365,2183,3365,3008.36
15,0.716985,1.38759,0,0.6653,0.463548,0.025265,0.836564,0,0.49477,4.09525,54.0377,5948,3713,5948,5320,3372,2183,3372,3032.6
16,0.706944,1.39684,0,0.68299,0.464438,0.026236,0.698132,0,0.521006,3.97558,58.0133,5998,3713,5998,5362.38,3397,2183,3397,3055.38
17,0.711736,1.37919,0,0.675949,0.469708,0.02544,1.53612,0,0.546446,4.79814,62.8114,6000,3713,6000,5399.88,3400,2183,3400,3075.65
18,0.697245,1.41326,0,0.629795,0.476215,0.026465,0.708394,0,0.572911,3.95138,66.7628,6083,3713,6083,5437.83,3446,2183,3446,3096.22
19,0.713517,1.41952,0,0.643691,0.483255,0.025214,0.856928,0,0.598125,4.14212,70.9049,6005,3713,6083,5467.68,3408,2183,3446,3112.63
20,0.704087,1.33584,0,0.631196,0.415034,0.026138,0.713176,0,0.624263,3.82547,74.7304,6028,3713,6083,5495.7,3420,2183,3446,3128
21,0.705009,1.34918,0,0.672636,0.4157,0.053728,0.932267,0,0.677991,4.12852,78.8589,6171,3713,6171,5527.86,3489,2183,3489,3145.19
22,0.721375,1.41935,0,0.685333,0.428848,0.027821,0.779667,0,0.705812,4.0624,82.9213,6135,3713,6171,5555.45,3470,2183,3489,3159.95
23,0.718548,1.4364,0,0.680164,0.478782,0.025692,0.966944,0,0.731504,4.30653,87.2278,6184,3713,6184,5582.78,3497,2183,3497,3174.61
24,0.734602,1.44647,0,0.692203,0.488868,0.026849,1.13859,0,0.758353,4.52758,91.7554,6222,3713,6222,5609.42,3517,2183,3517,3188.88
25,0.750031,1.49692,0,0.689344,0.490545,0.0261,0.828086,0,0.784453,4.28103,96.0365,6243,3713,6243,5634.76,3528,2183,3528,3202.44
26,0.74699,1.45769,0,0.688122,0.438095,0.027575,0.823556,0,0.812028,4.18203,100.218,6398,3713,6398,5664.12,3608,2183,3608,3218.04
27,0.747171,1.52489,0,0.688742,0.452603,0.054872,1.01885,0,0.8669,4.48712,104.706,6456,3713,6456,5693.44,3643,2183,3643,3233.78
28,0.78118,1.54325,0,0.69395,0.456742,0.02705,1.51395,0,0.89395,5.01612,109.722,6496,3713,6496,5722.11,3659,2183,3659,3248.96
29,0.793467,1.53167,0,0.705388,0.526939,0.027731,0.59659,0,0.921681,4.18179,113.904,6663,3713,6663,5754.55,3748,2183,3748,3266.17
30,0.804656,1.59519,0,0.716734,0.555453,0.093382,1.05854,0,1.01506,4.82395,118.727,6722,3713,6722,5786.8,3779,2183,3779,3283.27
31,0.81586,1.6598,0,0.734131,0.492958,0.028597,1.14846,0,1.04366,4.8798,123.607,6784,3713,6784,5818.97,3814,2183,3814,3300.39
32,0.836199,1.72788,0,0.737632,0.497406,0.028691,1.07154,0,1.07235,4.89935,128.507,6873,3713,6873,5851.91,3863,2183,3863,3317.97
33,0.832941,1.71346,0,0.737375,0.579418,0.029462,1.12352,0,1.10181,5.01618,133.523,7124,3713,7124,5890.45,3991,2183,3991,3338.36
34,0.853789,1.77607,0,0.754343,0.461883,0.028353,1.09528,0,1.13017,4.96972,138.493,7278,3713,7278,5931.26,4076,2183,4076,3360.06
35,0.872439,1.86474,0,0.769984,0.638898,0.029178,1.1607,0,1.15934,5.33594,143.828,7504,3713,7504,5976.2,4188,2183,4188,3383.71
36,0.893728,1.92385,0,0.780669,0.673048,0.028673,1.21854,0,1.18802,5.51851,149.347,7698,3713,7698,6024.03,4285,2183,4285,3408.75
37,0.908581,2.0161,0,0.793405,0.700432,0.02959,1.48676,0,1.21761,5.93486,155.282,7844,3713,7844,6073.22,4361,2183,4361,3434.49
38,0.930894,2.07148,0,0.807977,0.627178,0.030564,2.90353,0,1.24817,7.37163,162.653,7894,3713,7894,6121.13,4390,2183,4390,3459.63
39,0.943519,2.06412,0,0.8138,0.62242,0.05945,1.08489,0,1.30762,5.58821,168.242,8040,3713,8040,6170.33,4475,2183,4475,3485.67
40,0.9565,2.13259,0,0.826037,0.746326,0.066355,1.09551,0,1.37398,5.82332,174.065,8065,3713,8065,6217.7,4486,2183,4486,3510.68
41,0.96573,2.1299,0,0.82471,0.658406,0.031137,1.35772,0,1.40511,5.9676,180.033,8159,3713,8159,6265.05,4543,2183,4543,3535.85
42,0.977641,2.14949,0,0.837936,0.773727,0.03176,1.08997,0,1.43687,5.86052,185.893,8246,3713,8246,6312.21,4581,2183,4581,3560.74
43,0.983988,2.22056,0,0.834841,0.773794,0.031393,1.06167,0,1.46827,5.90625,191.799,8322,3713,8322,6358.95,4620,2183,4620,3585.37
44,1.00086,2.21073,0,0.839765,0.78646,0.031548,1.15951,0,1.49981,6.02888,197.828,8371,3713,8371,6404.68,4647,2183,4647,3609.5
45,0.998979,2.17294,0,0.846162,0.692305,0.0667,1.10682,0,1.56651,5.88391,203.712,8383,3713,8383,6448.64,4659,2183,4659,3632.82
46,1.0279,2.1569,0,0.85412,0.683082,0.031866,1.63038,0,1.59838,6.38425,210.096,8474,3713,8474,6492.67,4706,2183,4706,3656.15
47,1.02523,2.18244,0,0.860615,0.813239,0.031943,1.44194,0,1.63032,6.35541,216.452,8608,3713,8608,6537.68,4776,2183,4776,3679.98
48,1.04605,2.20277,0,0.862671,0.829064,0.032114,1.0908,0,1.66244,6.06347,222.515,8614,3713,8614,6580.94,4783,2183,4783,3702.96
49,1.06167,2.17864,0,0.867131,0.829154,0.032168,1.65914,0,1.6946,6.6279,229.143,8736,3713,8736,6624.92,4839,2183,4839,3726.14
50,1.06893,2.26219,0,0.873723,0.740938,0.03275,1.59437,0,1.72735,6.5729,235.716,8950,3713,8950,6671.42,4951,2183,4951,3750.64
51,1.09421,2.26758,0,0.886174,0.893498,0.033387,1.55679,0,1.76074,6.73163,242.448,9076,3713,9076,6718.57,5015,2183,5015,3775.43
52,1.12795,2.386,0,0.902868,0.79426,0.033261,1.50812,0,1.794,6.75247,249.2,9271,3713,9271,6767.65,5115,2183,5115,3801.19
53,1.15529,2.41935,0,0.910255,0.824071,0.034377,1.56737,0,1.82838,6.91072,256.111,9368,3713,9368,6816.72,5160,2183,5160,3826.83
54,1.18924,2.47381,0,0.924089,0.840099,0.03455,2.25753,0,1.86293,7.71932,263.83,9638,3713,9638,6868.96,5298,2183,5298,3854.07
55,1.19839,2.58092,0,0.936171,0.869948,0.034339,1.6748,0,1.89727,7.29458,271.125,9582,3713,9638,6918.29,5272,2183,5298,3879.85
56,1.22938,2.56392,0,0.951017,1.00487,0.034409,1.84937,0,1.93168,7.63296,278.758,9553,3713,9638,6965.34,5261,2183,5298,3904.52
57,1.23716,2.57188,0,0.934165,1.00248,0.067969,1.53146,0,1.99965,7.34511,286.103,9556,3713,9638,7010.79,5267,2183,5298,3928.42
58,1.27346,2.63106,0,0.933034,1.00237,0.037497,1.79632,0,2.03714,7.67373,293.777,9597,3713,9638,7055.38,5290,2183,5298,3951.9
59,1.2597,2.53095,0,0.941571,0.877779,0.037404,1.20513,0,2.07455,6.85253,300.629,9680,3713,9680,7099.86,5326,2183,5326,3975.19
60,1.25554,2.56832,0,0.944859,1.02769,0.036759,1.28108,0,2.11131,7.11424,307.743,9694,3713,9694,7143.1,5336,2183,5336,3997.87
61,1.26622,2.50649,0,0.953148,1.03117,0.110602,1.6678,0,2.22191,7.53544,315.279,9720,3713,9720,7185.34,5343,2183,5343,4019.92
62,1.26884,2.56346,0,0.946546,1.03032,0.0351,2.00975,0,2.25701,7.85402,323.133,9743,3713,9743,7226.6,5357,2183,5357,4041.48
63,1.28569,2.58506,0,0.951038,0.89293,0.071283,1.85368,0,2.32829,7.63968,330.773,9731,3713,9743,7266.35,5345,2183,5357,4062.17
64,1.26937,2.58562,0,0.951596,0.889949,0.034987,3.07474,0,2.36328,8.80625,339.579,9699,3713,9743,7304.36,5338,2183,5357,4082.11
65,1.2784,2.50953,0,0.984718,1.16033,0.035009,2.221,0,2.39829,8.18899,347.768,9648,3713,9743,7340.42,5306,2183,5357,4100.94
66,1.28264,2.4619,0,0.946622,0.879017,0.034946,1.24791,0,2.43323,6.85303,354.621,9614,3713,9743,7374.86,5290,2183,5357,4118.95
67,1.29951,2.48149,0,1.03147,1.00866,0.034273,2.22166,0,2.46751,8.07707,362.698,9452,3713,9743,7405.87,5208,2183,5357,4135.21
68,1.27771,2.47953,0,0.966999,0.98033,0.035016,2.86851,0,2.50252,8.60809,371.306,9377,3713,9743,7434.85,5171,2183,5357,4150.44
69,1.29053,2.39098,0,0.925196,0.973959,0.070445,2.20657,0,2.57297,7.85768,379.164,9476,3713,9743,7464.43,5219,2183,5357,4165.93
70,1.29617,2.4636,0,0.983178,0.849856,0.035163,2.93934,0,2.60813,8.56731,387.731,9609,3713,9743,7495.07,5286,2183,5357,4181.93
71,1.29472,2.51903,0,0.956043,0.866209,0.072619,1.63832,0,2.68075,7.34694,395.078,9520,3713,9743,7523.59,5241,2183,5357,4196.85
72,1.27773,2.47993,0,0.980387,0.850477,0.034203,1.75656,0,2.71495,7.37928,402.457,9505,3713,9743,7551.11,5234,2183,5357,4211.25
73,1.27468,2.45181,0,0.950719,0.838984,0.069165,1.65608,0,2.78412,7.24143,409.699,9489,3713,9743,7577.66,5223,2183,5357,4225.11
74,1.28431,2.49809,0,0.949933,0.838474,0.068253,1.83343,0,2.85237,7.4725,417.171,9447,3713,9743,7602.92,5198,2183,5357,4238.26
75,1.28566,2.50848,0,0.942344,0.963182,0.034298,1.92657,0,2.88667,7.66054,424.832,9480,3713,9743,7627.95,5217,2183,5357,4251.31
76,1.29033,2.45012,0,0.944886,0.966751,0.03384,1.24676,0,2.92051,6.93269,431.764,9501,3713,9743,7652.59,5226,2183,5357,4264.13
77,1.27268,2.49603,0,0.94219,0.833167,0.034595,1.91518,0,2.9551,7.49384,439.258,9439,3713,9743,7675.79,5193,2183,5357,4276.19
78,1.26941,2.51638,0,0.944937,0.828938,0.034936,1.25759,0,2.99004,6.85219,446.11,9543,3713,9743,7699.73,5249,2183,5357,4288.67
79,1.28168,2.54444,0,0.955571,0.842873,0.074004,2.35675,0,3.06404,8.05532,454.166,9546,3713,9743,7723.1,5251,2183,5357,4300.85
80,1.28735,2.5487,0,0.961113,0.843143,0.035007,1.68955,0,3.09905,7.36486,461.531,9477,3713,9743,7745.02,5212,2183,5357,4312.24
81,1.28675,2.52129,0,0.95874,0.833537,0.035619,1.45113,0,3.13467,7.08707,468.618,9511,3713,9743,7766.83,5231,2183,5357,4323.58
82,1.30005,2.50852,0,0.976514,0.69751,0.039031,1.23392,0,3.1737,6.75555,475.373,9470,3713,9743,7787.6,5210,2183,5357,4334.39
83,1.3006,2.52717,0,0.973145,0.825848,0.03488,1.23087,0,3.20858,6.89252,482.266,9450,3713,9743,7807.63,5202,2183,5357,4344.84
84,1.29166,2.47394,0,0.980779,0.820883,0.067983,1.18162,0,3.27656,6.81687,489.083,9437,3713,9743,7827.02,5199,2183,5357,4355.01
85,1.28559,2.45614,0,0.967852,0.812506,0.034576,1.51461,0,3.31114,7.07127,496.154,9398,3713,9743,7845.51,5176,2183,5357,4364.67
86,1.29961,2.4273,0,0.988085,0.676423,0.034554,1.20504,0,3.34569,6.63102,502.785,9362,3713,9743,7863.14,5158,2183,5357,4373.9
87,1.28939,2.52515,0,0.951219,0.81008,0.034079,3.21874,0,3.37977,8.82866,511.613,9321,3713,9743,7879.9,5135,2183,5357,4382.64
88,1.28137,2.37308,0,0.940939,0.799756,0.034196,1.53315,0,3.41397,6.96249,518.576,9365,3713,9743,7896.77,5160,2183,5357,4391.48
89,1.27806,2.44531,0,0.941886,0.806829,0.03485,1.70113,0,3.44882,7.20807,525.784,9395,3713,9743,7913.61,5177,2183,5357,4400.3
90,1.28871,2.4293,0,0.95256,0.813798,0.06871,2.05403,0,3.51753,7.60712,533.391,9349,3713,9743,7929.56,5150,2183,5357,4408.63
91,1.28536,2.43328,0,0.946519,0.815953,0.033645,1.63958,0,3.55117,7.15434,540.545,9464,3713,9743,7946.42,5208,2183,5357,4417.42
92,1.29122,2.47163,0,0.941951,0.696724,0.0353,1.97283,0,3.58647,7.40966,547.955,9527,3713,9743,7963.6,5240,2183,5357,4426.36
93,1.28942,2.49853,0,0.955617,0.84071,0.034526,1.54689,0,3.621,7.16568,555.121,9399,3713,9743,7979.03,5175,2183,5357,4434.41
94,1.27664,2.42,0,0.952005,0.953033,0.03449,1.65456,0,3.65549,7.29073,562.412,9411,3713,9743,7994.27,5185,2183,5357,4442.39
95,1.28797,2.4339,0,0.950796,0.810274,0.034281,1.55521,0,3.68977,7.07243,569.484,9400,3713,9743,8009.06,5180,2183,5357,4450.16
96,1.28144,2.47191,0,0.950275,0.687159,0.068032,2.26356,0,3.7578,7.72238,577.206,9419,3713,9743,8023.75,5187,2183,5357,4457.83
97,1.28632,2.41762,0,0.957634,0.814445,0.034697,1.79379,0,3.7925,7.3045,584.511,9351,3713,9743,8037.43,5153,2183,5357,4465
98,1.28354,2.49663,0,0.957818,0.806466,0.034485,1.52226,0,3.82699,7.10121,591.612,9331,3713,9743,8050.63,5143,2183,5357,4471.92
99,1.27099,2.39792,0,0.935328,0.671027,0.034002,1.2225,0,3.86099,6.53177,598.144,9412,3713,9743,8064.38,5184,2183,5357,4479.11
100,1.27221,2.40483,0,0.94585,0.812523,0.068174,1.50217,0,3.92916,7.00576,605.15,9307,3713,9743,8076.81,5131,2183,5357,4485.63
101,1.27098,2.39916,0,0.940349,0.800611,0.034225,1.71623,0,3.96339,7.16155,612.311,9298,3713,9743,8088.9,5126,2183,5357,4491.97
102,1.2825,2.37762,0,0.941194,0.663068,0.034627,1.17059,0,3.99801,6.46959,618.781,9302,3713,9743,8100.79,5125,2183,5357,4498.18
103,1.2729,2.4123,0,0.945903,0.791955,0.033771,1.21483,0,4.03178,6.67166,625.452,9272,3713,9743,8112.17,5109,2183,5357,4504.11
104,1.26699,2.32959,0,0.953373,0.791284,0.034808,1.44952,0,4.06659,6.82556,632.278,9250,3713,9743,8123.11,5100,2183,5357,4509.84
105,1.27041,2.38882,0,0.948103,0.788403,0.067411,1.60882,0,4.134,7.07196,639.35,9213,3713,9743,8133.49,5080,2183,5357,4515.27
106,1.28074,2.33104,0,0.942198,0.658027,0.034656,1.5343,0,4.16866,6.78097,646.131,9272,3713,9743,8144.23,5113,2183,5357,4520.91
107,1.26668,2.34226,0,0.933291,0.793631,0.03439,1.21411,0,4.20305,6.58435,652.715,9219,3713,9743,8154.27,5088,2183,5357,4526.21
108,1.2733,2.38159,0,0.933847,0.786306,0.034439,1.72481,0,4.23749,7.13429,659.85,9283,3713,9743,8164.72,5123,2183,5357,4531.73
109,1.25901,2.32097,0,0.925388,0.671527,0.034268,1.63347,0,4.27176,6.84464,666.694,9355,3713,9743,8175.64,5157,2183,5357,4537.47
110,1.26115,2.29197,0,0.941526,0.944953,0.034581,1.56526,0,4.30634,7.03943,673.734,9434,3713,9743,8187.08,5201,2183,5357,4543.5
111,1.26115,2.40434,0,0.952289,0.831962,0.068218,1.50911,0,4.37455,7.02707,680.761,9366,3713,9743,8197.7,5166,2183,5357,4549.11
112,1.27293,2.37335,0,0.940345,0.824395,0.03488,1.98024,0,4.40944,7.42613,688.187,9462,3713,9743,8208.99,5215,2183,5357,4555.05
113,1.27398,2.38181,0,0.944718,0.8338,0.069649,1.53315,0,4.47908,7.03711,695.224,9451,3713,9743,8219.98,5213,2183,5357,4560.88
114,1.26356,2.40334,0,0.940605,0.959822,0.034362,1.20271,0,4.51345,6.8044,702.028,9495,3713,9743,8231.17,5235,2183,5357,4566.79
115,1.28061,2.37599,0,0.944611,0.832866,0.034606,1.617,0,4.54805,7.08568,709.114,9502,3713,9743,8242.22,5237,2183,5357,4572.62
116,1.27984,2.3936,0,0.944622,0.842454,0.068393,1.19275,0,4.61645,6.72166,715.836,9530,3713,9743,8253.32,5253,2183,5357,4578.48
117,1.2851,2.42178,0,0.941552,0.851493,0.035652,0.844952,0,4.6521,6.38053,722.216,9683,3713,9743,8265.54,5331,2183,5357,4584.91
118,1.2861,2.47317,0,0.95666,1.01953,0.035086,1.34135,0,4.68718,7.1119,729.328,9866,3713,9866,8279.1,5421,2183,5421,4592
119,1.33784,2.55176,0,0.988032,1.06798,0.035317,2.96282,0,4.7225,8.94375,738.272,9954,3713,9954,8293.18,5464,2183,5464,4599.33
120,1.3712,2.58578,0,0.989356,1.08236,0.035517,1.34999,0,4.75802,7.41421,745.686,9987,3713,9987,8307.29,5478,2183,5478,4606.65
121,1.40085,2.56271,0,0.995476,1.10088,0.035057,1.54206,0,4.79307,7.63704,753.323,9768,3713,9987,8319.36,5370,2183,5478,4612.96
122,1.39949,2.50127,0,0.970828,0.918076,0.069549,1.79826,0,4.86262,7.65748,760.981,9548,3713,9987,8329.43,5260,2183,5478,4618.26
123,1.40019,2.38585,0,0.976415,1.01983,0.035204,1.82702,0,4.89783,7.64452,768.625,9548,3713,9987,8339.34,5266,2183,5478,4623.53
124,1.40323,2.47767,0,0.972632,1.02694,0.035063,1.52928,0,4.93289,7.44481,776.07,9572,3713,9987,8349.28,5280,2183,5478,4628.82
125,1.40775,2.39076,0,0.971015,1.02293,0.035326,1.87994,0,4.96822,7.70773,783.778,9672,3713,9987,8359.86,5336,2183,5478,4634.48
126,1.38358,2.45816,0,0.961474,0.892773,0.068535,1.26518,0,5.03675,7.0297,790.807,9798,3713,9987,8371.28,5399,2183,5478,4640.55
127,1.39145,2.53384,0,0.977691,1.05914,0.035792,1.66694,0,5.07254,7.66486,798.472,9871,3713,9987,8383.09,5435,2183,5478,4646.8
128,1.3735,2.61329,0,0.98662,1.07719,0.034913,1.31135,0,5.10746,7.39686,805.869,9943,3713,9987,8395.27,5484,2183,5484,4653.34
129,1.335,2.53915,0,0.976768,0.934289,0.034678,1.80712,0,5.14213,7.62699,813.496,9829,3713,9987,8406.39,5428,2183,5484,4659.35
130,1.30784,2.49015,0,0.972341,0.922536,0.034391,1.76584,0,5.17653,7.4931,820.989,9680,3713,9987,8416.18,5354,2183,5484,4664.69
131,1.31731,2.44201,0,0.9934,1.03583,0.035266,1.60306,0,5.21179,7.42687,828.416,9588,3713,9987,8425.13,5307,2183,5484,4669.6
132,1.28625,2.4033,0,0.987459,1.0212,0.06756,1.59757,0,5.27935,7.36333,835.779,9619,3713,9987,8434.17,5315,2183,5484,4674.48
